OrderID,OrderDate,CustomerID,ProductID,Region,Quantity,Discount,DeliveryDays,Rating
O00046,09-04-2025,C0411,P007,East,9,10,7,1
O00047,11-08-2025,C0390,P001,West,3,0,4,5
O00048,12-05-2025,C0218,P004,East,6,15,5,1
O00049,04-03-2024,C0476,P007,North,4,20,5,2
O00050,26-08-2024,C0282,P005,North,8,0,5,4
O00051,05-07-2024,C0113,P009,East,6,0,2,5
O00052,29-06-2024,C0103,P001,South,5,5,3,4
O00053,16-08-2025,C0312,P004,West,7,20,5,3
O00054,12-05-2025,C0234,P010,South,10,5,3,3
O00055,23-09-2024,C0076,P008,West,4,10,7,4
O00056,21-02-2024,C0300,P001,West,5,5,3,5
O00057,24-04-2024,C0053,P010,North,1,0,7,5
O00058,15-07-2024,C0179,P007,North,3,20,7,1
O00059,30-06-2025,C0404,P001,East,9,10,7,5
O00060,31-12-2024,C0225,P007,West,3,15,1,5
O00061,18-06-2025,C0121,P002,West,4,15,5,4
O00062,06-01-2025,C0374,P006,East,8,0,2,5
O00063,20-09-2024,C0293,P005,West,7,20,6,1
O00064,08-02-2024,C0160,P008,West,8,0,2,1
O00065,02-01-2025,C0498,P009,West,1,0,4,2
O00066,29-05-2025,C0027,P007,East,2,10,2,4
O00067,08-04-2025,C0048,P007,South,6,15,5,4
O00068,19-07-2024,C0089,P001,North,7,20,4,1
O00069,08-01-2024,C0221,P008,East,8,15,3,5
O00070,26-02-2025,C0260,P010,North,10,0,7,4
O00071,13-10-2025,C0407,P007,East,4,0,2,4
O00072,31-08-2024,C0443,P003,North,3,5,6,3
O00073,29-07-2025,C0010,P005,East,3,10,5,2
O00074,31-08-2025,C0418,P009,West,6,5,5,5
O00075,13-11-2025,C0324,P007,West,3,15,1,3
O00076,10-01-2024,C0491,P007,East,7,20,3,4
O00077,12-07-2024,C0180,P008,North,8,5,7,4
O00078,28-07-2025,C0411,P004,West,3,5,1,4
O00079,15-05-2024,C0391,P007,West,3,0,3,1
O00080,19-01-2025,C0429,P004,North,7,20,2,2
O00081,28-01-2024,C0489,P003,North,8,15,7,5
O00082,15-01-2024,C0076,P009,South,4,20,3,1
O00083,09-12-2025,C0042,P007,North,2,15,5,1
O00084,30-05-2024,C0449,P005,North,7,0,6,2
O00085,24-03-2025,C0492,P002,West,2,0,4,1
O00086,02-09-2025,C0087,P001,North,10,5,6,2
O00087,27-04-2025,C0373,P005,North,9,20,2,3
O00088,21-04-2024,C0299,P010,South,1,0,4,4
O00089,11-01-2025,C0158,P005,South,7,0,7,3
O00090,27-07-2025,C0126,P010,South,4,10,3,3
O00091,14-03-2025,C0433,P010,West,1,10,4,4
O00092,11-07-2025,C0307,P007,North,6,5,5,2
O00093,07-05-2025,C0119,P005,North,7,10,3,5
O00094,27-06-2024,C0084,P002,West,8,10,2,1
O00095,13-04-2024,C0123,P003,North,2,15,4,5
O00096,22-06-2024,C0013,P009,North,8,15,5,4
O00097,22-11-2024,C0141,P006,East,4,10,4,3
O00098,23-04-2024,C0139,P006,North,9,10,2,2
O00099,21-03-2024,C0384,P008,East,6,5,7,4
O00100,19-01-2025,C0285,P003,West,6,0,5,4
O00101,29-02-2024,C0173,P006,East,2,10,5,5
O00102,09-03-2025,C0464,P007,East,5,15,6,5
O00103,18-08-2024,C0446,P004,East,6,10,1,5
O00104,09-08-2025,C0431,P007,East,4,0,2,1
O00105,04-05-2025,C0377,P004,South,2,0,6,3
O00106,25-07-2025,C0389,P007,South,2,20,2,2
O00107,15-04-2024,C0202,P003,North,10,20,4,5
O00108,11-01-2024,C0063,P007,North,6,5,3,5
O00109,15-12-2024,C0087,P006,North,1,5,6,4
O00110,24-06-2024,C0177,P002,South,9,5,3,2
O00111,25-06-2025,C0204,P009,West,3,0,1,2
O00112,18-05-2025,C0253,P005,South,7,5,2,3
O00113,11-03-2024,C0499,P003,East,9,20,1,1
O00114,23-01-2024,C0463,P005,West,9,20,3,1
O00115,22-03-2025,C0352,P004,North,2,20,7,1
O00116,20-11-2025,C0243,P010,West,3,0,7,2
O00117,30-08-2025,C0393,P006,West,9,15,5,1
O00118,13-03-2025,C0242,P003,North,8,5,5,3
O00119,01-10-2025,C0088,P002,South,4,15,5,1
O00120,29-04-2025,C0209,P001,North,6,0,2,2
O00121,28-12-2025,C0279,P004,East,9,0,5,3
O00122,24-12-2025,C0223,P010,South,2,5,2,3
O00123,24-05-2025,C0166,P008,South,6,0,1,3
O00124,26-01-2025,C0081,P004,North,10,10,1,5
O00125,21-08-2025,C0426,P010,East,4,15,6,1
O00126,16-05-2024,C0485,P002,East,10,0,2,3
O00127,19-08-2025,C0175,P001,South,2,20,1,3
O00128,26-08-2024,C0182,P008,West,9,10,7,2
O00129,13-02-2024,C0229,P008,East,4,0,2,3
O00130,01-03-2025,C0272,P002,East,3,0,7,4
O00131,17-06-2025,C0161,P009,East,10,20,5,4
O00132,24-10-2025,C0252,P009,West,9,5,7,5
O00133,27-11-2025,C0065,P001,South,4,15,2,4
O00134,10-06-2025,C0443,P003,South,1,10,4,2
O00135,01-06-2025,C0227,P001,North,8,10,4,4
O00136,28-09-2025,C0294,P005,North,7,10,2,3
O00137,19-06-2025,C0423,P001,West,10,0,3,5
O00138,08-06-2024,C0263,P005,West,7,0,3,3
O00139,09-06-2025,C0122,P004,North,8,20,6,2
O00140,25-03-2025,C0387,P006,West,9,15,1,3
O00141,04-10-2025,C0426,P006,North,8,0,7,2
O00142,21-03-2024,C0119,P001,East,3,0,4,3
O00143,23-04-2024,C0412,P003,East,7,10,4,5
O00144,24-04-2025,C0354,P008,North,9,0,3,3
O00145,28-07-2025,C0397,P001,South,1,15,7,5
O00146,07-04-2024,C0281,P003,South,9,15,5,3
O00147,22-06-2025,C0311,P006,East,3,15,4,1
O00148,28-10-2024,C0391,P009,South,6,5,6,4
O00149,21-07-2025,C0299,P007,North,9,0,3,4
O00150,26-01-2025,C0069,P006,West,5,10,3,3
O00151,28-09-2025,C0276,P008,West,7,0,2,4
O00152,03-06-2024,C0025,P007,South,8,15,7,1
O00153,18-11-2025,C0037,P002,West,4,5,2,3
O00154,30-01-2024,C0367,P006,South,10,10,2,4
O00155,17-08-2025,C0116,P009,East,10,0,2,2
O00156,04-10-2025,C0265,P007,South,3,20,1,3
O00157,28-01-2025,C0234,P005,North,1,10,6,2
O00158,08-06-2025,C0373,P009,East,7,15,3,3
O00159,26-03-2024,C0265,P002,East,10,10,7,5
O00160,10-07-2025,C0405,P010,North,3,20,3,2
O00161,30-11-2024,C0289,P002,North,10,10,5,1
O00162,26-12-2025,C0463,P008,South,10,0,6,5
O00163,22-05-2025,C0500,P008,South,1,5,6,3
O00164,06-07-2024,C0042,P009,West,4,20,5,1
O00165,14-11-2025,C0217,P007,North,9,5,1,4
O00166,03-09-2024,C0158,P008,South,5,20,2,3
O00167,27-11-2024,C0123,P005,East,1,5,3,4
O00168,07-10-2025,C0223,P009,West,6,5,5,5
O00169,10-06-2025,C0009,P010,North,10,15,7,1
O00170,16-12-2025,C0469,P005,West,6,15,1,4
O00171,28-11-2025,C0387,P003,West,4,10,7,1
O00172,28-03-2024,C0153,P005,East,8,10,1,3
O00173,28-09-2025,C0044,P004,South,5,10,4,2
O00174,30-11-2024,C0223,P003,South,2,15,7,2
O00175,24-11-2025,C0131,P004,South,7,0,3,2
O00176,09-12-2025,C0214,P002,West,4,20,5,4
O00177,07-01-2025,C0075,P005,West,7,5,7,2
O00178,14-03-2025,C0500,P005,South,3,5,4,3
O00179,01-10-2025,C0062,P010,East,7,15,5,4
O00180,09-02-2025,C0315,P005,North,8,20,4,4
O00181,22-06-2024,C0242,P006,North,7,20,5,1
O00182,01-05-2024,C0473,P005,East,7,10,3,1
O00183,02-12-2025,C0124,P002,West,6,10,4,2
O00184,24-10-2025,C0072,P010,East,5,15,3,1
O00185,23-05-2025,C0192,P007,East,6,20,2,2
O00186,01-01-2024,C0310,P004,South,5,5,7,4
O00187,06-02-2024,C0187,P001,West,6,5,6,1
O00188,28-09-2024,C0384,P010,West,8,0,4,1
O00189,29-08-2024,C0139,P010,North,4,15,1,3
O00190,18-03-2025,C0498,P002,West,3,10,5,1
O00191,03-10-2024,C0037,P007,North,9,0,5,3
O00192,11-05-2025,C0489,P002,East,10,10,2,1
O00193,05-11-2025,C0376,P002,North,2,0,3,1
O00194,14-08-2025,C0248,P009,North,9,5,7,1
O00195,03-12-2025,C0223,P001,South,8,0,3,1
O00196,30-06-2024,C0343,P001,North,3,20,3,3
O00197,23-09-2024,C0408,P010,South,9,20,4,3
O00198,21-08-2025,C0483,P006,North,10,20,4,4
O00199,24-10-2024,C0077,P004,North,6,0,3,1
O00200,26-03-2024,C0097,P004,West,4,0,7,2
O00201,11-01-2024,C0324,P009,East,3,5,3,4
O00202,20-01-2024,C0233,P001,East,7,10,6,2
O00203,11-04-2024,C0345,P005,South,6,0,3,1
O00204,16-09-2025,C0054,P001,South,5,0,1,5
O00205,23-02-2024,C0297,P004,East,6,0,5,1
O00206,20-01-2025,C0321,P004,North,5,20,4,5
O00207,17-08-2024,C0468,P004,East,9,5,6,3
O00208,09-02-2025,C0003,P005,West,4,10,1,1
O00209,26-02-2025,C0480,P010,East,7,10,6,3
O00210,28-05-2024,C0059,P007,East,4,15,4,4
O00211,05-04-2024,C0078,P003,South,7,20,4,4
O00212,16-07-2025,C0439,P009,West,7,10,4,3
O00213,26-11-2024,C0027,P004,South,2,0,7,1
O00214,02-10-2024,C0025,P003,North,2,0,5,4
O00215,06-02-2025,C0155,P004,West,1,15,6,3
O00216,02-11-2025,C0103,P007,East,5,10,3,1
O00217,15-10-2024,C0364,P010,South,7,10,4,2
O00218,01-09-2024,C0227,P001,West,1,15,3,5
O00219,10-03-2024,C0115,P001,West,5,5,7,4
O00220,28-08-2025,C0095,P001,East,5,5,7,4
O00221,16-04-2024,C0111,P009,West,4,10,2,2
O00222,29-06-2024,C0435,P002,West,8,5,7,3
O00223,08-06-2025,C0214,P001,East,7,5,2,5
O00224,26-02-2025,C0334,P001,North,4,0,2,4
O00225,24-05-2024,C0102,P008,East,4,10,7,2
O00226,12-08-2024,C0098,P002,East,3,0,5,5
O00227,07-07-2025,C0053,P002,North,9,15,7,1
O00228,03-05-2024,C0311,P006,North,8,20,3,2
O00229,10-10-2024,C0196,P005,West,1,5,4,1
O00230,24-11-2025,C0384,P004,North,5,0,2,2
O00231,21-04-2024,C0455,P004,East,4,20,7,1
O00232,08-01-2025,C0008,P010,East,5,0,7,4
O00233,20-08-2024,C0097,P005,South,6,15,6,5
O00234,21-07-2025,C0056,P010,North,2,20,2,3
O00235,15-11-2025,C0487,P010,South,3,20,7,3
O00236,10-07-2025,C0175,P001,South,4,20,5,4
O00237,27-02-2024,C0026,P004,East,6,10,6,4
O00238,14-03-2025,C0299,P005,South,10,10,3,3
O00239,23-03-2025,C0399,P002,South,1,10,3,5
O00240,12-02-2025,C0354,P007,North,10,10,3,1
O00241,05-08-2025,C0085,P004,North,9,10,4,5
O00242,08-12-2024,C0068,P007,West,6,5,5,5
O00243,22-02-2025,C0355,P007,West,4,5,3,4
O00244,07-07-2024,C0334,P009,East,5,0,3,2
O00245,11-04-2025,C0326,P006,West,5,20,2,5
O00246,31-10-2025,C0398,P003,East,4,10,5,4
O00247,10-09-2024,C0185,P001,West,9,20,4,1
O00248,29-06-2024,C0150,P005,East,7,0,4,4
O00249,07-08-2024,C0434,P002,North,5,10,5,5
O00250,27-08-2024,C0302,P005,West,5,5,5,1
O00251,15-07-2025,C0412,P001,South,5,5,2,4
O00252,03-09-2025,C0013,P006,South,8,0,5,2
O00253,06-01-2024,C0027,P006,East,4,10,5,5
O00254,11-05-2025,C0130,P008,West,1,10,4,1
O00255,15-07-2025,C0328,P010,West,4,15,4,1
O00256,21-10-2025,C0348,P008,West,2,15,1,3
O00257,23-06-2024,C0370,P001,North,2,10,5,5
O00258,05-09-2025,C0025,P007,South,3,15,4,1
O00259,30-06-2024,C0308,P003,North,1,0,3,5
O00260,06-07-2025,C0419,P005,North,4,5,4,4
O00261,17-12-2025,C0019,P001,South,2,5,2,4
O00262,25-06-2025,C0095,P006,South,4,20,5,5
O00263,06-08-2025,C0306,P006,South,4,20,4,1
O00264,27-05-2025,C0052,P001,East,10,20,7,5
O00265,26-11-2025,C0071,P010,East,2,15,5,3
O00266,30-04-2025,C0155,P010,East,3,20,2,4
O00267,04-05-2025,C0063,P001,East,10,15,2,2
O00268,03-10-2025,C0212,P010,South,2,0,3,4
O00269,18-12-2024,C0176,P009,North,1,15,6,3
O00270,19-05-2024,C0271,P001,East,7,15,6,4
O00271,02-08-2024,C0253,P003,West,3,0,2,5
O00272,29-03-2024,C0105,P009,South,6,10,7,2
O00273,05-08-2025,C0033,P004,South,7,0,3,5
O00274,23-06-2025,C0240,P005,North,1,10,2,5
O00275,06-08-2025,C0481,P005,North,5,20,5,5
O00276,18-06-2025,C0168,P010,North,10,0,7,1
O00277,22-09-2025,C0394,P002,North,5,0,7,4
O00278,28-08-2025,C0391,P007,East,4,10,6,1
O00279,03-04-2024,C0154,P002,East,6,20,3,3
O00280,25-08-2025,C0287,P001,North,5,20,1,3
O00281,17-01-2025,C0274,P003,South,7,15,3,5
O00282,13-08-2025,C0167,P005,West,3,10,4,1
O00283,13-08-2024,C0389,P001,South,7,5,3,5
O00284,15-01-2025,C0159,P006,South,9,10,5,3
O00285,26-04-2024,C0010,P005,North,4,0,5,3
O00286,05-08-2025,C0418,P010,North,2,0,3,4
O00287,12-12-2024,C0254,P001,West,8,0,4,3
O00288,15-06-2024,C0066,P010,North,10,20,2,2
O00289,07-07-2024,C0474,P010,North,1,20,2,4
O00290,22-09-2024,C0466,P010,East,5,0,3,3
O00291,16-04-2024,C0089,P009,East,7,0,7,1
O00292,25-08-2024,C0172,P004,North,3,5,3,5
O00293,02-01-2025,C0326,P005,West,5,5,6,4
O00294,27-02-2025,C0398,P008,North,7,10,3,4
O00295,10-01-2024,C0256,P010,East,4,0,4,3
O00296,10-08-2024,C0023,P006,North,5,5,5,1
O00297,25-09-2024,C0292,P002,North,9,0,2,2
O00298,27-05-2024,C0056,P008,East,10,20,3,3
O00299,14-12-2025,C0470,P010,West,3,15,4,1
O00300,27-10-2024,C0053,P008,West,3,15,2,2
O00301,16-04-2025,C0089,P008,South,9,5,4,1
O00302,16-02-2025,C0195,P007,West,1,10,6,5
O00303,20-06-2024,C0010,P001,North,10,0,6,5
O00304,15-09-2025,C0445,P010,East,7,10,3,5
O00305,04-12-2025,C0409,P006,East,10,5,5,4
O00306,23-06-2024,C0100,P003,West,3,0,2,3
O00307,10-03-2024,C0081,P009,South,7,10,1,2
O00308,25-01-2025,C0451,P001,West,3,20,3,1
O00309,26-08-2024,C0472,P010,North,5,5,1,3
O00310,25-09-2025,C0316,P002,North,7,0,6,2
O00311,31-07-2025,C0424,P009,South,10,10,7,5
O00312,13-06-2024,C0397,P008,West,7,5,4,1
O00313,07-10-2025,C0156,P010,West,10,15,1,3
O00314,27-08-2025,C0226,P002,East,5,5,5,1
O00315,09-05-2024,C0441,P008,North,2,15,3,3
O00316,26-04-2025,C0161,P001,West,5,15,1,1
O00317,20-12-2024,C0039,P009,East,3,15,3,5
O00318,22-09-2024,C0407,P010,North,10,20,5,5
O00319,02-11-2024,C0084,P006,South,2,0,6,3
O00320,23-05-2025,C0035,P008,North,10,10,7,5
O00321,03-01-2024,C0444,P004,West,4,0,5,4
O00322,15-04-2025,C0355,P002,West,5,20,4,2
O00323,28-02-2024,C0353,P003,North,5,15,3,5
O00324,18-05-2024,C0500,P008,North,8,0,1,5
O00325,25-10-2025,C0092,P008,South,9,5,1,2
O00326,29-12-2025,C0083,P001,West,3,5,1,5
O00327,04-01-2025,C0242,P007,East,6,10,6,1
O00328,19-01-2024,C0074,P010,West,9,10,1,2
O00329,26-04-2025,C0071,P005,North,7,0,2,5
O00330,25-06-2025,C0307,P005,North,9,0,6,2
O00331,23-08-2025,C0316,P010,South,2,20,1,5
O00332,05-03-2024,C0079,P009,East,1,0,3,1
O00333,30-06-2025,C0008,P010,West,5,0,1,1
O00334,06-06-2024,C0035,P004,West,5,20,2,5
O00335,19-01-2025,C0092,P006,North,6,0,1,1
O00336,22-11-2024,C0469,P004,North,5,0,2,2
O00337,01-10-2024,C0421,P002,East,3,15,7,2
O00338,03-05-2025,C0331,P010,South,3,20,5,5
O00339,28-03-2025,C0147,P004,North,8,0,7,1
O00340,05-08-2025,C0312,P007,North,9,15,6,3
O00341,04-12-2025,C0298,P007,East,9,0,6,3
O00342,11-11-2025,C0026,P003,South,3,10,2,3
O00343,20-09-2024,C0269,P004,North,9,0,6,2
O00344,21-01-2025,C0493,P002,South,4,20,5,1
O00345,04-06-2024,C0110,P003,West,5,10,5,4
O00346,08-11-2025,C0460,P001,South,9,10,6,3
O00347,18-10-2024,C0454,P002,South,5,20,6,1
O00348,23-03-2025,C0389,P006,South,5,15,3,2
O00349,07-02-2025,C0087,P010,East,2,0,3,5
O00350,29-09-2024,C0411,P008,West,8,15,5,1
O00351,02-08-2024,C0271,P001,East,2,0,5,5
O00352,06-12-2024,C0081,P009,North,9,15,7,1
O00353,20-05-2025,C0149,P007,South,1,20,3,2
O00354,10-11-2025,C0354,P001,South,10,0,7,5
O00355,02-05-2024,C0333,P007,East,2,5,2,1
O00356,08-08-2024,C0306,P010,East,7,10,6,4
O00357,12-01-2025,C0393,P005,East,9,5,4,2
O00358,20-07-2025,C0027,P002,East,7,20,6,2
O00359,19-05-2025,C0030,P005,South,1,0,5,2
O00360,17-09-2025,C0107,P008,West,9,10,3,2
O00361,07-07-2025,C0492,P007,South,6,15,7,2
O00362,25-11-2024,C0188,P010,South,1,20,1,2
O00363,26-12-2025,C0262,P005,South,7,10,5,1
O00364,28-07-2025,C0482,P003,West,10,15,2,3
O00365,16-04-2025,C0247,P007,West,3,5,2,5
O00366,19-09-2024,C0274,P005,West,3,0,5,3
O00367,12-01-2024,C0165,P001,North,3,15,1,2
O00368,14-06-2024,C0070,P010,South,5,0,7,5
O00369,08-12-2025,C0336,P002,South,8,15,4,5
O00370,18-12-2024,C0359,P009,North,8,15,4,5
O00371,10-04-2025,C0158,P008,South,2,10,7,5
O00372,16-12-2024,C0026,P010,South,6,10,4,1
O00373,27-03-2024,C0005,P002,West,1,15,5,4
O00374,18-03-2025,C0262,P006,East,10,0,1,1
O00375,20-01-2025,C0119,P009,West,8,5,5,4
O00376,20-07-2025,C0144,P001,South,7,10,2,1
O00377,10-07-2024,C0075,P004,East,2,15,4,1
O00378,31-03-2025,C0351,P007,East,5,0,5,3
O00379,14-08-2025,C0187,P007,West,4,10,5,1
O00380,02-04-2025,C0448,P005,East,7,15,1,1
O00381,25-02-2024,C0019,P002,South,2,5,4,1
O00382,05-01-2025,C0230,P004,West,2,15,1,2
O00383,04-08-2025,C0486,P009,West,3,20,4,1
O00384,14-08-2025,C0304,P009,South,1,20,5,5
O00385,09-02-2025,C0203,P003,South,10,20,5,4
O00386,24-12-2024,C0344,P008,West,8,20,5,1
O00387,04-05-2024,C0292,P010,West,6,15,2,3
O00388,15-09-2025,C0136,P004,West,3,20,3,3
O00389,13-07-2025,C0442,P007,West,6,15,1,1
O00390,07-04-2025,C0355,P005,North,6,5,3,2
O00391,13-08-2025,C0109,P006,South,8,20,6,3
O00392,18-04-2025,C0106,P008,East,5,5,6,5
O00393,30-12-2025,C0343,P005,West,2,5,6,3
O00394,09-07-2024,C0136,P009,East,10,20,2,2
O00395,10-09-2025,C0032,P010,South,6,10,3,5
O00396,14-12-2025,C0112,P007,West,1,0,6,4
O00397,25-04-2024,C0080,P002,West,5,10,4,3
O00398,03-08-2024,C0419,P005,North,8,10,7,1
O00399,23-09-2024,C0031,P006,South,10,5,3,2
O00400,12-04-2025,C0491,P008,North,9,10,2,5
O00401,06-06-2024,C0466,P001,East,4,20,4,5
O00402,15-08-2024,C0414,P010,East,10,0,1,4
O00403,27-08-2025,C0096,P004,West,8,5,4,1
O00404,04-09-2024,C0123,P007,South,7,15,4,3
O00405,20-06-2025,C0381,P006,West,8,15,5,1
O00406,12-10-2025,C0343,P006,West,3,0,1,1
O00407,11-11-2024,C0350,P010,East,2,10,7,4
O00408,09-01-2024,C0355,P009,East,2,10,7,4
O00409,27-06-2024,C0396,P010,West,6,0,5,1
O00410,18-05-2025,C0437,P010,West,7,20,2,1
O00411,03-04-2024,C0484,P007,West,3,20,3,3
O00412,18-01-2024,C0259,P006,East,2,10,6,1
O00413,14-11-2024,C0136,P006,South,6,0,4,4
O00414,05-09-2024,C0355,P003,North,7,15,1,4
O00415,10-03-2024,C0324,P006,South,6,20,7,4
O00416,14-09-2025,C0329,P002,East,2,15,5,5
O00417,15-03-2025,C0246,P009,East,5,20,3,5
O00418,11-04-2025,C0102,P005,West,8,20,4,1
O00419,16-05-2025,C0189,P005,North,7,5,3,3
O00420,23-09-2024,C0237,P005,South,6,15,6,2
O00421,02-10-2025,C0280,P007,West,8,20,2,2
O00422,23-01-2025,C0467,P002,North,4,0,3,1
O00423,15-08-2025,C0048,P004,South,5,15,4,3
O00424,01-05-2024,C0126,P003,South,5,15,5,3
O00425,10-06-2025,C0325,P004,East,2,0,2,4
O00426,18-06-2025,C0121,P004,West,1,20,2,2
O00427,27-11-2025,C0111,P004,East,4,0,2,5
O00428,27-06-2024,C0208,P003,South,4,5,3,5
O00429,14-08-2024,C0225,P007,South,6,0,4,1
O00430,01-10-2025,C0343,P006,West,8,5,2,5
O00431,16-05-2024,C0396,P008,East,6,20,6,2
O00432,30-11-2024,C0184,P001,East,10,15,4,2
O00433,06-04-2024,C0154,P002,South,9,15,3,2
O00434,19-03-2025,C0479,P007,East,5,10,4,4
O00435,20-08-2024,C0014,P008,West,9,15,3,4
O00436,09-12-2024,C0178,P005,West,1,10,5,3
O00437,18-09-2024,C0142,P003,South,9,15,3,3
O00438,26-09-2024,C0199,P006,East,4,10,1,1
O00439,10-10-2025,C0016,P002,South,2,20,2,2
O00440,03-10-2025,C0318,P005,North,5,0,6,5
O00441,08-11-2025,C0433,P006,North,5,15,3,5
O00442,31-08-2025,C0045,P001,North,2,15,7,5
O00443,07-11-2025,C0343,P007,East,3,20,1,3
O00444,02-09-2025,C0103,P010,South,8,10,4,2
O00445,15-10-2024,C0336,P007,North,2,0,4,1
O00446,12-12-2024,C0213,P007,West,10,10,2,5
O00447,05-05-2024,C0225,P008,East,7,10,7,3
O00448,20-08-2025,C0093,P007,West,5,20,2,1
O00449,01-07-2025,C0236,P002,East,1,5,6,3
O00450,20-11-2024,C0085,P005,West,9,15,1,3
O00451,16-06-2025,C0026,P009,South,1,5,5,5
O00452,11-06-2024,C0211,P004,South,2,20,7,3
O00453,13-06-2024,C0129,P004,East,3,15,6,5
O00454,28-04-2025,C0497,P008,South,8,0,1,3
O00455,06-07-2025,C0282,P005,South,6,15,6,1
O00456,28-10-2025,C0083,P001,South,6,5,5,3
O00457,18-04-2024,C0302,P008,South,9,20,4,5
O00458,23-02-2025,C0336,P006,West,7,0,7,1
O00459,16-12-2025,C0474,P002,North,7,15,6,3
O00460,02-06-2025,C0044,P003,South,5,10,2,1
O00461,15-09-2025,C0384,P006,North,1,10,4,1
O00462,04-02-2024,C0305,P009,South,9,20,3,1
O00463,13-03-2024,C0496,P004,East,9,20,6,1
O00464,01-07-2025,C0322,P010,North,1,20,1,2
O00465,11-08-2025,C0284,P009,North,9,10,2,4
O00466,28-06-2025,C0313,P006,West,2,0,6,2
O00467,17-12-2024,C0367,P001,South,5,15,4,5
O00468,10-11-2024,C0394,P002,North,8,15,1,2
O00469,14-11-2025,C0450,P006,East,10,10,6,4
O00470,03-05-2024,C0450,P006,North,4,5,5,2
O00471,18-01-2024,C0070,P002,North,8,5,2,3
O00472,22-10-2024,C0301,P007,North,6,5,2,4
O00473,24-05-2024,C0291,P008,West,9,15,6,3
O00474,30-06-2024,C0379,P007,East,8,20,7,1
O00475,06-08-2025,C0406,P003,North,2,15,3,5
O00476,28-08-2025,C0498,P001,East,1,0,1,5
O00477,15-12-2024,C0063,P001,North,7,10,3,5
O00478,11-06-2024,C0268,P001,West,4,0,5,4
O00479,26-03-2024,C0222,P002,North,2,5,1,3
O00480,27-08-2024,C0419,P009,South,8,10,5,4
O00481,27-06-2024,C0482,P003,North,1,10,4,5
O00482,21-09-2025,C0446,P001,West,4,0,5,2
O00483,20-05-2025,C0187,P005,East,1,20,1,5
O00484,19-10-2024,C0290,P001,South,10,10,7,2
O00485,20-12-2024,C0492,P004,West,1,5,3,1
O00486,24-05-2024,C0460,P002,North,6,5,5,5
O00487,15-06-2024,C0338,P002,West,3,10,6,4
O00488,11-10-2025,C0401,P008,East,3,10,3,4
O00489,23-04-2024,C0215,P010,West,10,0,4,5
O00490,15-03-2024,C0055,P001,East,4,0,1,3
O00491,01-03-2024,C0337,P001,West,4,5,4,3
O00492,09-03-2024,C0014,P010,South,4,10,3,3
O00493,09-11-2024,C0157,P005,West,10,15,4,4
O00494,29-02-2024,C0492,P009,South,1,10,2,5
O00495,27-10-2025,C0096,P006,West,9,20,1,5
O00496,13-06-2025,C0106,P006,East,6,20,4,2
